Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,11.40,11.92,11.02,11.66,000,11.66
2016-08-08,11.66,11.78,11.41,11.50,000,11.50
2016-08-05,12.08,12.26,11.18,11.39,000,11.39
2016-08-04,12.73,12.98,11.79,12.42,000,12.42
2016-08-03,13.53,13.91,12.73,12.86,000,12.86
2016-08-02,12.39,14.24,12.35,13.37,000,13.37
2016-08-01,11.89,12.98,11.86,12.44,000,12.44
2016-07-29,12.85,12.90,11.77,11.87,000,11.87
2016-07-28,12.51,13.52,12.36,12.72,000,12.72
2016-07-27,12.61,13.74,12.50,12.83,000,12.83
2016-07-26,12.88,13.50,12.80,13.05,000,13.05
2016-07-25,12.64,13.72,12.39,12.87,000,12.87
2016-07-22,12.80,12.88,11.97,12.02,000,12.02
2016-07-21,11.80,13.06,11.69,12.74,000,12.74
2016-07-20,11.94,11.97,11.40,11.77,000,11.77
2016-07-19,12.53,12.83,11.94,11.97,000,11.97
2016-07-18,12.75,13.12,12.33,12.44,000,12.44
2016-07-15,13.12,13.22,12.27,12.67,000,12.67
2016-07-14,12.50,13.37,12.14,12.82,000,12.82
2016-07-13,13.32,13.79,12.92,13.04,000,13.04
2016-07-12,12.93,13.93,12.75,13.55,000,13.55
2016-07-11,13.25,13.67,13.00,13.54,000,13.54
2016-07-08,14.64,14.75,13.19,13.20,000,13.20
2016-07-07,14.80,15.98,14.33,14.76,000,14.76
2016-07-06,15.87,17.040001,14.96,14.96,000,14.96
2016-07-05,16.049999,16.620001,15.49,15.58,000,15.58
2016-07-01,15.59,15.86,14.61,14.77,000,14.77
2016-06-30,16.91,16.99,15.29,15.63,000,15.63
2016-06-29,18.120001,18.27,16.48,16.639999,000,16.639999
2016-06-28,21.76,22.07,18.75,18.75,000,18.75
2016-06-27,24.379999,26.719999,22.93,23.85,000,23.85
2016-06-24,26.059999,26.24,19.48,25.76,000,25.76
2016-06-23,19.540001,19.790001,17.25,17.25,000,17.25
2016-06-22,18.26,21.219999,17.83,21.17,000,21.17
2016-06-21,17.67,18.959999,16.91,18.48,000,18.48
2016-06-20,17.42,18.549999,16.59,18.370001,000,18.370001
2016-06-17,19.42,20.030001,18.709999,19.41,000,19.41
2016-06-16,20.799999,22.889999,19.24,19.370001,000,19.370001
2016-06-15,20.25,20.450001,18.629999,20.139999,000,20.139999
2016-06-14,21.280001,22.16,20.27,20.50,000,20.50
2016-06-13,18.24,21.01,17.889999,20.969999,000,20.969999
2016-06-10,14.89,17.33,14.85,17.030001,000,17.030001
2016-06-09,14.01,14.85,13.99,14.64,000,14.64
2016-06-08,13.84,14.27,13.70,14.08,000,14.08
2016-06-07,12.77,14.05,12.72,14.05,000,14.05
2016-06-06,13.84,14.27,13.42,13.65,000,13.65
2016-06-03,13.78,14.66,12.90,13.47,000,13.47
2016-06-02,14.42,14.92,13.62,13.63,000,13.63
2016-06-01,14.45,15.25,14.18,14.20,000,14.20
2016-05-31,13.94,15.00,13.45,14.19,000,14.19
2016-05-27,13.49,13.76,13.04,13.12,000,13.12
2016-05-26,13.80,14.11,13.43,13.43,000,13.43
2016-05-25,14.19,14.33,13.64,13.90,000,13.90
2016-05-24,16.030001,16.059999,14.36,14.42,000,14.42
2016-05-23,16.33,16.469999,15.40,15.82,000,15.82
2016-05-20,16.129999,16.299999,15.11,15.20,000,15.20
2016-05-19,16.370001,17.65,16.280001,16.33,000,16.33
2016-05-18,15.72,16.469999,14.86,15.95,000,15.95
2016-05-17,14.57,16.120001,14.48,15.57,000,15.57
2016-05-16,15.72,15.98,14.28,14.68,000,14.68
2016-05-13,15.15,15.47,13.97,15.04,000,15.04
